Title,Description,Price,Ingredients,Nutrient,Col1,Col2,Col3,Col4,url
Header Information,,,,Typical Values,per 100g,per tart,% based on RI for Average Adult,,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
Sainsbury's Egg Custard Tarts 2x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.00,"INGREDIENTS:British Cows'Milk,Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes,  Salt.",Energy,1157kJ,938kJ,-,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
Sainsbury's Egg Custard Tarts 2x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.00,"INGREDIENTS:British Cows'Milk,Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes,  Salt.",Fat,11.7g,9.5g,14%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
Sainsbury's Egg Custard Tarts 2x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.00,"INGREDIENTS:British Cows'Milk,Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes,  Salt.",Saturates,5.2g,4.2g,21%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
Sainsbury's Egg Custard Tarts 2x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.00,"INGREDIENTS:British Cows'Milk,Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes,  Salt.",Mono-unsaturates,4.4g,3.6g,-,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
Sainsbury's Egg Custard Tarts 2x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.00,"INGREDIENTS:British Cows'Milk,Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes,  Salt.",Polyunsaturates,1.1g,0.9g,-,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
Sainsbury's Egg Custard Tarts 2x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.00,"INGREDIENTS:British Cows'Milk,Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes,  Salt.",Carbohydrate,35.7g,28.9g,11%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
Sainsbury's Egg Custard Tarts 2x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.00,"INGREDIENTS:British Cows'Milk,Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes,  Salt.",Sugars,14.4g,11.7g,13%,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
Sainsbury's Egg Custard Tarts 2x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.00,"INGREDIENTS:British Cows'Milk,Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes,  Salt.",Starch,21.3g,17.2g,-,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
Sainsbury's Egg Custard Tarts 2x81g,"Shortcrust pastry tarts filled with egg custard, topped with nutmeg",£1.00,"INGREDIENTS:British Cows'Milk,Fortified Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Pasteurised WholeEgg(16%), Sugar, Palm Oil, Dried Glucose Syrup, Rapeseed Oil, Palm Stearin, Cream (Cows'Milk), Palm Kernel Oil, Nutmeg, Flavouring, Dextrose, Colour: Mixed Carotenes,  Salt.",Fibre,0.7g,0.5g,-,N/A,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-free-range-egg-custard-tarts-2x85g
